english,nom_sing,nom_pl,gender,possessive_compatible
head,ceann,cinn,masc,yes
hair,falt,fuiltean,masc,yes
face,aodann,aodainnean,masc,yes
eye,sùil,sùilean,fem,yes
ear,cluas,cluasan,fem,yes
nose,sròn,sròintean,fem,yes
mouth,beul,beòil,masc,yes
tooth,fiacail,fiaclan,fem,yes
chin,smiogaid,smiogaidean,masc,yes
moustache,stais,staisean,fem,yes
neck,amhaich,amhaichean,fem,yes
throat,sgòrnan,sgòrnanan,masc,yes
shoulder,gualann,guailnean,fem,yes
back,druim,dromannan,masc,yes
arm,gàirdean,gàirdeanan,masc,yes
elbow,uileann,uileanan,fem,yes
hand,làmh,làmhan,fem,yes
finger,corrag,corragan,fem,yes
thumb,òrdag,òrdagan,fem,yes
chest,broilleach,broillichean,masc,yes
stomach,stamag,stamagan,fem,yes
foot,cas,casan,fem,yes
knee,glùn,gluintean,fem,yes
