english,nom_sing,nom_pl,gender,possessive_compatible
mother,màthair,màthraichean,fem,yes
father,athair,athraichean,masc,yes
son,mac,mic,masc,yes
daughter,nighean,nigheanan,fem,no
brother,bràthair,bràithrean,masc,yes
sister,piuthar,peathraichean,fem,yes
aunt,antaidh,antaidhean,fem,yes
uncle,uncail,uncailean,masc,yes
grandfather,seanair,seanairean,masc,yes
grandmother,seanmhair,seanmhairean,fem,yes
cousin,co-ogha,co-oghaichean,masc,yes
grandchild,ogha,oghaichean,masc,yes
husband,duine,daoine,masc,no
wife,bean,mnathan,fem,yes
baby,leanabh,leanabhan,masc,yes
